Released,Title,ProdBudget,DomesticBO,InternationalBO,CPI,InflAdjBudget,InflAdjDomesticBO
1999-07-23,Inspector Gadget,7.5e+07,97387965,0,166.7,113574835.032993,147477627.454319
1999-07-23,The Haunting,8e+07,91188905,8.9e+07,166.7,121146490.70186,138090197.896191
1999-04-30,Entrapment,6.6e+07,87707396,123992604,166.2,100246534.296029,133217613.350445
1999-11-10,Pokemon: The First Movie,3e+07,85744662,77900000,168.3,44998039.2156863,128611388.773725
1999-02-05,Payback,5e+07,81526121,80100000,164.5,76729179.331307,125108647.167897
1999-12-24,The Talented Mr. Ripley,4e+07,81292135,47500000,168.3,59997385.620915,121932889.288562
1999-12-22,Any Given Sunday,6e+07,75530832,24700000,168.3,89996078.4313725,113291311.344314
1999-07-28,Deep Blue Sea,6e+07,73648228,91400000,166.7,90859868.0263947,111527804.60763
1999-12-24,Galaxy Quest,4.5e+07,71423726,19100000,168.3,67497058.8235294,107130920.782614
1999-12-31,Fantasia 2000 (Theatrical Release),8e+07,69610858,0,168.3,119994771.24183,104411737.270719
1999-08-06,The Thomas Crown Affair,4.8e+07,69304264,5.5e+07,167.1,72513895.8707361,104698378.814458
1999-09-17,Blue Streak,3.6e+07,68208190,49239967,167.9,54126289.4580107,102551562.092972
1999-11-24,End of Days,1e+08,66889043,145137932,168.3,149993464.052288,100329192.667124
1999-11-05,The Bone Collector,4.8e+07,66488090,84975000,168.3,71996862.745098,99727789.3732026
1999-08-13,Bowfinger,5.5e+07,66458769,32241000,167.1,83088839.0185518,100399671.978402
1999-12-10,Deuce Bigalow: Male Gigolo,1.8e+07,65535067,27400000,168.3,26998823.5294118,98298317.1622876
1999-04-16,Life,7.5e+07,64062587,9459000,166.2,113916516.245487,97303823.102846
1999-01-29,She's All That,1e+07,63465522,0,164.3,15364516.1290323,97511703.6406452
1999-10-01,Three Kings,4.8e+07,60652036,47100000,168.2,72039667.0630202,91028176.6694649
1999-12-17,Bicentennial Man,9e+07,58220776,29200000,168.3,134994117.647059,87327358.7205229
1999-12-10,The Cider House Rules,0,57547209,3.1e+07,168.3,0,86317052.2445098
1999-07-16,Eyes Wide Shut,6.5e+07,55691208,48576235,166.7,98431523.6952609,84334930.1518416
1999-04-09,Never Been Kissed,0,55474757,0,166.2,0,84259880.7600662
1999-03-19,Forces of Nature,0,52957800,4.1e+07,165,0,81021903.48
1999-01-15,Varsity Blues,1.6e+07,52894169,1400000,164.3,24583225.8064516,81269331.2732258
1999-02-12,Message in a Bottle,3e+07,52880016,0,164.5,46037507.5987842,81148804.6141277
1999-06-30,"South Park: Bigger, Longer & Uncut",2.1e+07,52037603,0,166.2,31896624.5487365,79039232.6336763
1999-12-29,The Hurricane,3.8e+07,50699241,23257000,168.3,56997516.3398693,76045547.8241176
1999-09-10,Stigmata,3.2e+07,50041732,39400000,167.9,48112257.2960095,75238146.422561
1999-10-29,House on Haunted Hill,1.9e+07,40846082,24244459,168.2,28515701.5457788,61302878.0856005
1999-12-17,Anna and the King,7.5e+07,39251128,0,168.3,112495098.039216,58874126.5667974
1999-03-05,Cruel Intentions,1.1e+07,38230075,37573641,165,16829266.6666667,58489466.0783333
1999-03-31,10 Things I Hate About You,1.3e+07,38177966,22236059,165,19889133.3333333,58409742.7822667
1999-10-15,Fight Club,6.5e+07,37030102,63821603,168.2,97553715.8145065,55575754.5706183
1999-02-12,My Favorite Martian,6e+07,36850101,0,164.5,92075015.1975684,56549560.1601155
1999-02-26,8MM,4e+07,36443442,59955384,164.5,61383343.4650456,55925507.9333617
1999-09-17,For Love of the Game,5e+07,35188640,10924000,167.9,75175402.0250149,52906403.1742704
1999-12-22,Man on the Moon,5.2e+07,34580635,12827000,168.3,77996601.3071895,51868692.3277778
1999-06-04,Instinct,5.5e+07,34105207,0,166.2,83538778.5800241,51801951.5636161
1999-10-22,The Best Man,9e+06,34102780,470000,168.2,13507437.5743163,51182352.4400713
1999-08-20,Mickey Blue Eyes,4e+07,33864342,2e+07,167.1,60428246.5589467,51159070.1983124
1999-08-27,The 13th Warrior,1.25e+08,32698899,2.9e+07,167.1,188838270.496709,49398428.2744524
1999-02-19,October Sky,0,32683932,425933,164.5,0,50156225.5936049
1999-07-16,Lake Placid,2.7e+07,31770413,0,166.7,40886940.6118776,48110925.5387343
1999-10-08,Random Hearts,6.4e+07,31054924,32145076,168.2,96052889.4173603,46608049.7005708
1999-11-12,Dogma,1e+07,30651422,13297443,168.3,14999346.4052288,45975129.639085
1999-10-08,Superstar,1.4e+07,30628981,0,168.2,21011569.5600476,45968783.2024911
1999-08-06,Mystery Men,6.8e+07,29762011,3700000,167.1,102728019.150209,44961653.4699521
1999-11-05,The Insider,6.8e+07,28965197,31300000,168.3,101995555.555556,43445902.3498693
1999-12-21,"Girl, Interrupted",2.4e+07,28871190,0,168.3,35998431.372549,43304897.9941176
1999-04-02,The Out-of-Towners,4e+07,28544120,0,166.2,60755475.3309266,43355289.4625752
1999-02-26,The Other Sister,0,27807627,0,164.5,0,42673127.9772219
1999-03-12,Baby Geniuses,1.3e+07,27151490,0,165,19889133.3333333,41539969.6006667
1999-10-15,The Story of Us,5e+07,27100030,0,168.2,75041319.8573127,40672440.3874554
1999-02-12,Blast from the Past,3.5e+07,26613620,0,164.5,53710425.5319149,40840824.4327052
1999-07-16,The Wood,6e+06,25059640,0,166.7,9085986.80263947,37948593.0531494
1999-07-09,Arlington Road,21500000,24419219,0,166.7,32558119.3761248,36978783.5941272
1999-08-04,The Iron Giant,5e+07,23159305,8174612,167.1,75535308.1986834,34986904.8168462
1999-10-29,Being John Malkovich,1.3e+07,22858926,9523455,168.2,19510743.1629013,34307279.5512128
1999-03-26,EDtv,6e+07,22508689,12811000,165,91796000,34436793.5907333
1999-12-17,Magnolia,3.7e+07,22450975,25995827,168.3,55497581.6993464,33674995.1160131
1999-01-15,At First Sight,4e+07,22365133,0,164.3,61458064.516129,34362944.6706452
1999-11-05,The Bachelor,2.1e+07,21731001,15151377,168.3,31498627.4509804,32595081.1731373
1999-09-10,Stir of Echoes,1.2e+07,21133087,0,167.9,18042096.4860036,31773766.2250923
1999-03-26,Doug's 1st Movie,5e+06,19421271,0,165,7649666.66666667,29713249.8786
1999-07-02,Summer of Sam,2.2e+07,19288130,0,166.7,33315284.9430114,29208615.7712658
1999-11-12,Anywhere But Here,2.3e+07,18653615,0,168.3,34498496.7320261,27979203.3094771
1999-10-29,Galapagos,0,18571938,8518276,168.2,0,27873254.7965636
1999-06-18,An Ideal Husband,10700000,18542974,12798209,166.2,16252089.6510229,28164679.9854753
1999-10-01,Drive Me Crazy,8e+06,17843379,4748072,168.2,12006611.17717,26779814.2174851
1999-03-12,The Rage: Carrie 2,2.1e+07,17760244,0,165,32128600,27171989.3037333
1999-04-09,Go!,6500000,16875273,11508168,166.2,9872764.74127557,25631630.8113538
1999-03-19,True Crime,0,16676845,0,165,0,25514461.0603333
1999-10-22,Bringing Out The Dead,3.2e+07,16640210,0,168.2,48026444.7086802,24974066.4220571
1999-07-14,Muppets From Space,2.4e+07,16304786,0,166.7,36343947.2105579,24690845.0693101
1999-05-14,A Midsummer Night's Dream,0,16071990,8939655,166.2,0,24411534.7990975
1999-03-12,The Corruptor,1e+07,15164492,0,165,15299333.3333333,23200661.7938667
1999-04-23,Election,8500000,14943582,2259272,166.2,12910538.5078219,22697610.688917
1999-10-29,Music of the Heart,0,14849583,0,168.2,0,22286646.1530143
