Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
2002-02-19,Reign of Fire,Action,6e+07,43061982,66482949,39088201,82150183
2002-12-27,The Hours,Drama,2.5e+07,41675994,62060344,55354474,97030468
2002-04-05,High Crimes,Thriller/Suspense,4.2e+07,41543207,64138128,22237893,63781100
2002-01-25,A Walk to Remember,Drama,1.1e+07,41227069,63650053,4833846,46060915
2002-01-11,Orange County,Comedy,1.8e+07,41059716,63391672,2248991,43308707
2002-06-14,Windtalkers,Action,1.15e+08,40914068,63166812,36714197,77628265
2002-05-17,About a Boy,Romantic Comedy,2.7e+07,40803000,62995332,89956651,130759651
2002-08-02,The Master of Disguise,Adventure,1.6e+07,40363530,62316841,0,40363530
2002-03-15,Resident Evil,Horror,3.5e+07,40119709,61940406,63667692,103787401
2002-08-16,Blue Crush,Drama,3e+07,40118420,61938415,11500000,51618420
2002-12-20,The Wild Thornberrys Movie,Adventure,2.5e+07,40108697,61452725,20586040,60694737
2002-02-08,Collateral Damage,Action,8.5e+07,40048332,61830210,38305176,78353508
2002-05-24,Enough,Thriller/Suspense,3.8e+07,39177215,60485302,11793445,50970660
2002-05-31,Undercover Brother,Comedy,2.5e+07,38230435,59023578,2565710,40796145
2002-11-27,Treasure Planet,Adventure,1e+08,38120554,58724392,53679446,91800000
2002-03-15,Showtime,Comedy,8.5e+07,37948765,58588712,4.1e+07,78948765
2002-03-01,40 Days and 40 Nights,Romantic Comedy,1.7e+07,37939782,58574836,57152885,95092667
2002-02-15,Crossroads,Drama,1.2e+07,37188667,57415203,19811333,5.7e+07
2002-03-29,Clockstoppers,Adventure,2.6e+07,36985501,57101531,1803327,38788828
2002-01-25,The Mothman Prophecies,Thriller/Suspense,4.2e+07,35228696,54389218,21209859,56438555
2002-07-19,K-19: The Widowmaker,Action,9e+07,35168966,54297007,30547160,65716126
2002-12-13,The Hot Chick,Comedy,0,35081550,53867514,19557959,54639509
2002-11-01,I Spy,Action,7e+07,33561137,51789031,26718685,60279822
