title,startYear,url
Killer Barbys vs. Dracula,2002,https://www.rottentomatoes.com/m/killer_barbys_vs_dracula
The Stepford Wives,2004,https://www.rottentomatoes.com/m/stepford_wives
Freddy vs. Jason,2003,https://www.rottentomatoes.com/m/freddy_vs_jason
Little Erin Merryweather,2003,https://www.rottentomatoes.com/m/little_erin_merryweather
The Card Player,2004,https://www.rottentomatoes.com/m/card_player
Urban Massacre,2002,https://www.rottentomatoes.com/m/urban_massacre
Satan's Playground,2006,https://www.rottentomatoes.com/m/satans_playground
Cold Creek Manor,2003,https://www.rottentomatoes.com/m/cold_creek_manor
11:14,2003,https://www.rottentomatoes.com/m/1114
Alive,2002,https://www.rottentomatoes.com/m/alive
Boogiepop and Others,2000,https://www.rottentomatoes.com/m/boogiepop_and_others
Club Dread,2004,https://www.rottentomatoes.com/m/club_dread
Darkhunters,2004,https://www.rottentomatoes.com/m/darkhunters
LD 50 Lethal Dose,2003,https://www.rottentomatoes.com/m/ld_50_lethal_dose
In My Skin,2002,https://www.rottentomatoes.com/m/in_my_skin
Glad,2002,https://www.rottentomatoes.com/m/glad
Aquanoids,2003,https://www.rottentomatoes.com/m/aquanoids
Highwaymen,2004,https://www.rottentomatoes.com/m/highwaymen
Speed Demon,2003,https://www.rottentomatoes.com/m/speed_demon
Wolves of Wall Street,2002,https://www.rottentomatoes.com/m/wolves_of_wall_street
Exorcism,2003,https://www.rottentomatoes.com/m/exorcism
Bhoot,2003,https://www.rottentomatoes.com/m/bhoot
Hangman's Curse,2003,https://www.rottentomatoes.com/m/hangmans_curse
Nightstalker,2002,https://www.rottentomatoes.com/m/nightstalker
The Bone Snatcher,2003,https://www.rottentomatoes.com/m/bone_snatcher
The Mummy's Kiss,2003,https://www.rottentomatoes.com/m/mummys_kiss
"So, You've Downloaded a Demon",2007,https://www.rottentomatoes.com/m/so_youve_downloaded_a_demon
Tomie: Re-birth,2001,https://www.rottentomatoes.com/m/tomie_rebirth
Tomie: Forbidden Fruit,2002,https://www.rottentomatoes.com/m/tomie_forbidden_fruit
Gothika,2003,https://www.rottentomatoes.com/m/gothika
Dead Bodies,2003,https://www.rottentomatoes.com/m/dead_bodies
Die You Zombie Bastards!,2005,https://www.rottentomatoes.com/m/die_you_zombie_bastards
Revenge of the Unhappy Campers,2002,https://www.rottentomatoes.com/m/revenge_of_the_unhappy_campers
Evil Remains,2004,https://www.rottentomatoes.com/m/evil_remains
Body Jumper,2001,https://www.rottentomatoes.com/m/body_jumper
Sleeping with the Dead,2002,https://www.rottentomatoes.com/m/sleeping_with_the_dead
Vampire Effect,2003,https://www.rottentomatoes.com/m/vampire_effect
Hellborn,2003,https://www.rottentomatoes.com/m/hellborn
Sssshhh...,2003,https://www.rottentomatoes.com/m/sssshhh
Ginger Snaps 2: Unleashed,2004,https://www.rottentomatoes.com/m/ginger_snaps_2_unleashed
Devil's Harvest,2003,https://www.rottentomatoes.com/m/devils_harvest
Riding the Bullet,2004,https://www.rottentomatoes.com/m/riding_the_bullet
The Forgotten,2004,https://www.rottentomatoes.com/m/forgotten
Boogeyman,2005,https://www.rottentomatoes.com/m/boogeyman
Decoys,2004,https://www.rottentomatoes.com/m/decoys
Uninvited,2003,https://www.rottentomatoes.com/m/uninvited
I'll Bury You Tomorrow,2002,https://www.rottentomatoes.com/m/ill_bury_you_tomorrow
Blade: Trinity,2004,https://www.rottentomatoes.com/m/blade_trinity
Hellbreeder,2004,https://www.rottentomatoes.com/m/hellbreeder
Plastic Tree,2003,https://www.rottentomatoes.com/m/plastic_tree
The Holy Terror,2002,https://www.rottentomatoes.com/m/holy_terror
Gozu,2003,https://www.rottentomatoes.com/m/gozu
Guardian of the Realm,2004,https://www.rottentomatoes.com/m/guardian_of_the_realm
The Sleep of Reason,2003,https://www.rottentomatoes.com/m/sleep_of_reason
Aragami,2003,https://www.rottentomatoes.com/m/aragami
Death 4 Told,2004,https://www.rottentomatoes.com/m/death_4_told
Malice@Doll,2001,https://www.rottentomatoes.com/m/malicedoll
Dawn of the Dead,2004,https://www.rottentomatoes.com/m/dawn_of_the_dead
Unearthed,2004,https://www.rottentomatoes.com/m/unearthed
Bangkok Haunted,2001,https://www.rottentomatoes.com/m/bangkok_haunted
Ginger Snaps Back: The Beginning,2004,https://www.rottentomatoes.com/m/ginger_snaps_back_the_beginning
A Tale of Two Sisters,2003,https://www.rottentomatoes.com/m/a_tale_of_two_sisters
Monster Man,2003,https://www.rottentomatoes.com/m/monster_man
Rectuma,2003,https://www.rottentomatoes.com/m/rectuma
Shaun of the Dead,2004,https://www.rottentomatoes.com/m/shaun_of_the_dead
Anacondas: The Hunt for the Blood Orchid,2004,https://www.rottentomatoes.com/m/anacondas_the_hunt_for_the_blood_orchid
Mega Scorpions,2003,https://www.rottentomatoes.com/m/mega_scorpions
Breaking Dawn,2004,https://www.rottentomatoes.com/m/breaking_dawn
Lost Things,2003,https://www.rottentomatoes.com/m/lost_things
House of Voices,2004,https://www.rottentomatoes.com/m/house_of_voices
Toolbox Murders,2004,https://www.rottentomatoes.com/m/toolbox_murders
Dracula 3000,2004,https://www.rottentomatoes.com/m/dracula_3000
Ju-On: The Grudge 2,2003,https://www.rottentomatoes.com/m/juon_the_grudge_2
Season of the Hunted,2003,https://www.rottentomatoes.com/m/season_of_the_hunted
Alone in the Dark,2005,https://www.rottentomatoes.com/m/alone_in_the_dark
Dead Meat,2004,https://www.rottentomatoes.com/m/dead_meat
Hawa,2003,https://www.rottentomatoes.com/m/hawa
Shallow Ground,2004,https://www.rottentomatoes.com/m/shallow_ground
The Yellow Sign,2001,https://www.rottentomatoes.com/m/yellow_sign
Beneath Still Waters,2005,https://www.rottentomatoes.com/m/beneath_still_waters
Hamlet_X,2003,https://www.rottentomatoes.com/m/hamletx
Pontianak harum sundal malam,2004,https://www.rottentomatoes.com/m/pontianak_harum_sundal_malam
Survive This,2005,https://www.rottentomatoes.com/m/survive_this
Flesh for the Beast,2003,https://www.rottentomatoes.com/m/flesh_for_the_beast
The Janitor,2003,https://www.rottentomatoes.com/m/janitor
Bad Inclination,2003,https://www.rottentomatoes.com/m/bad_inclination
Devilman,2004,https://www.rottentomatoes.com/m/devilman
Captivity,2007,https://www.rottentomatoes.com/m/captivity
Incident at Loch Ness,2004,https://www.rottentomatoes.com/m/incident_at_loch_ness
Home Sick,2007,https://www.rottentomatoes.com/m/home_sick
Twisted Illusions 2,2004,https://www.rottentomatoes.com/m/twisted_illusions_2
White Noise,2005,https://www.rottentomatoes.com/m/white_noise
The Ring Two,2005,https://www.rottentomatoes.com/m/ring_two
Cutthroat Alley,2003,https://www.rottentomatoes.com/m/cutthroat_alley
Acacia,2003,https://www.rottentomatoes.com/m/acacia
Operation: Nazi Zombies,2003,https://www.rottentomatoes.com/m/operation_nazi_zombies
Satan's Little Helper,2004,https://www.rottentomatoes.com/m/satans_little_helper
Sur le seuil,2003,https://www.rottentomatoes.com/m/sur_le_seuil
Jennifer's Shadow,2004,https://www.rottentomatoes.com/m/jennifers_shadow
Evil Aliens,2005,https://www.rottentomatoes.com/m/evil_aliens
Johnny Come Lately,2004,https://www.rottentomatoes.com/m/johnny_come_lately
Cry Wolf,2005,https://www.rottentomatoes.com/m/cry_wolf
Silent Hill,2006,https://www.rottentomatoes.com/m/silent_hill
The Amityville Horror,2005,https://www.rottentomatoes.com/m/amityville_horror
Battlefield Baseball,2003,https://www.rottentomatoes.com/m/battlefield_baseball
Bell Witch: The Movie,2007,https://www.rottentomatoes.com/m/bell_witch_the_movie
Boo,2005,https://www.rottentomatoes.com/m/boo
Chainsaw Sally,2004,https://www.rottentomatoes.com/m/chainsaw_sally
Severe Injuries,2003,https://www.rottentomatoes.com/m/severe_injuries
Point of Contact,2006,https://www.rottentomatoes.com/m/point_of_contact
Cold and Dark,2005,https://www.rottentomatoes.com/m/cold_and_dark
The Locals,2003,https://www.rottentomatoes.com/m/locals
Okul,2004,https://www.rottentomatoes.com/m/okul
The Roost,2005,https://www.rottentomatoes.com/m/roost
Saw,2004,https://www.rottentomatoes.com/m/saw
Seed of Chucky,2004,https://www.rottentomatoes.com/m/seed_of_chucky
Wilderness Survival for Girls,2004,https://www.rottentomatoes.com/m/wilderness_survival_for_girls
Graveyard Alive,2003,https://www.rottentomatoes.com/m/graveyard_alive
Blood of the Beast,2003,https://www.rottentomatoes.com/m/blood_of_the_beast
Rise: Blood Hunter,2007,https://www.rottentomatoes.com/m/rise_blood_hunter
Sea of Fear,2006,https://www.rottentomatoes.com/m/sea_of_fear
30 Days of Night,2007,https://www.rottentomatoes.com/m/30_days_of_night
Evil Cult,2003,https://www.rottentomatoes.com/m/evil_cult
The Death Curse,2003,https://www.rottentomatoes.com/m/death_curse
Dreamland,2007,https://www.rottentomatoes.com/m/dreamland
The Grudge,2004,https://www.rottentomatoes.com/m/grudge
The Devil's Rejects,2005,https://www.rottentomatoes.com/m/devils_rejects
House of 9,2005,https://www.rottentomatoes.com/m/house_of_9
Blood and Chocolate,2007,https://www.rottentomatoes.com/m/blood_and_chocolate
House of Wax,2005,https://www.rottentomatoes.com/m/house_of_wax
Bazaar Bizarre,2004,https://www.rottentomatoes.com/m/bazaar_bizarre
Dead End Massacre,2004,https://www.rottentomatoes.com/m/dead_end_massacre
Vampires: The Turning,2005,https://www.rottentomatoes.com/m/vampires_the_turning
